Date,Time,CO(GT),NO2(GT),AQI_Friction
12/03/2004,22.00.00,3.5,139.0,139.5
12/03/2004,23.00.00,5.4,134.0,175.0
13/03/2004,00.00.00,2.7,113.0,110.5
13/03/2004,01.00.00,1.9,97.0,86.5
13/03/2004,02.00.00,1.6,82.0,73.0
13/03/2004,05.00.00,1.0,65.0,52.5
13/03/2004,06.00.00,1.2,60.0,54.0
13/03/2004,07.00.00,1.5,77.0,68.5
13/03/2004,08.00.00,2.7,96.0,102.0
13/03/2004,09.00.00,3.7,119.0,133.5
13/03/2004,10.00.00,3.2,126.0,127.0
13/03/2004,11.00.00,4.1,158.0,161.0
13/03/2004,12.00.00,3.6,161.0,152.5
13/03/2004,13.00.00,2.8,124.0,118.0
13/03/2004,14.00.00,2.0,102.0,91.0
13/03/2004,15.00.00,2.0,116.0,98.0
13/03/2004,16.00.00,2.5,124.0,112.0
13/03/2004,17.00.00,2.3,125.0,108.5
13/03/2004,18.00.00,3.2,148.0,138.0
13/03/2004,19.00.00,4.2,165.0,166.5
13/03/2004,20.00.00,4.2,161.0,164.5
13/03/2004,21.00.00,4.2,159.0,163.5
13/03/2004,22.00.00,3.1,143.0,133.5
13/03/2004,23.00.00,2.6,130.0,117.0
14/03/2004,00.00.00,2.9,129.0,122.5
14/03/2004,01.00.00,2.8,119.0,115.5
14/03/2004,02.00.00,2.5,104.0,102.0
14/03/2004,05.00.00,1.2,70.0,59.0
14/03/2004,06.00.00,1.0,63.0,51.5
14/03/2004,07.00.00,0.9,67.0,51.5
14/03/2004,08.00.00,1.4,84.0,70.0
14/03/2004,09.00.00,1.6,83.0,73.5
14/03/2004,10.00.00,2.2,98.0,93.0
14/03/2004,11.00.00,2.8,114.0,113.0
14/03/2004,12.00.00,2.8,119.0,115.5
14/03/2004,13.00.00,2.0,104.0,92.0
14/03/2004,14.00.00,1.8,102.0,87.0
14/03/2004,15.00.00,1.9,107.0,91.5
14/03/2004,16.00.00,3.0,129.0,124.5
14/03/2004,17.00.00,2.9,128.0,122.0
14/03/2004,18.00.00,2.5,121.0,110.5
14/03/2004,19.00.00,4.6,157.0,170.5
14/03/2004,20.00.00,5.9,173.0,204.5
14/03/2004,21.00.00,3.4,146.0,141.0
14/03/2004,22.00.00,2.1,121.0,102.5
14/03/2004,23.00.00,2.2,119.0,103.5
15/03/2004,00.00.00,1.8,99.0,85.5
15/03/2004,01.00.00,1.8,93.0,82.5
15/03/2004,02.00.00,1.8,88.0,80.0
15/03/2004,05.00.00,1.0,74.0,57.0
15/03/2004,06.00.00,1.4,80.0,68.0
15/03/2004,07.00.00,2.2,89.0,88.5
15/03/2004,08.00.00,5.5,114.0,167.0
15/03/2004,09.00.00,8.1,149.0,236.5
15/03/2004,10.00.00,5.8,157.0,194.5
15/03/2004,11.00.00,4.2,155.0,161.5
15/03/2004,12.00.00,3.1,134.0,129.0
15/03/2004,13.00.00,2.9,119.0,117.5
15/03/2004,14.00.00,2.9,111.0,113.5
15/03/2004,15.00.00,2.5,104.0,102.0
15/03/2004,16.00.00,2.3,99.0,95.5
15/03/2004,17.00.00,2.8,110.0,111.0
15/03/2004,18.00.00,6.1,162.0,203.0
15/03/2004,19.00.00,8.0,187.0,253.5
15/03/2004,20.00.00,6.5,165.0,212.5
15/03/2004,21.00.00,4.2,145.0,156.5
15/03/2004,22.00.00,3.2,125.0,126.5
15/03/2004,23.00.00,1.4,101.0,78.5
16/03/2004,00.00.00,2.1,103.0,93.5
16/03/2004,01.00.00,1.2,88.0,68.0
16/03/2004,02.00.00,0.8,61.0,46.5
16/03/2004,05.00.00,0.6,52.0,38.0
16/03/2004,06.00.00,0.9,64.0,50.0
16/03/2004,07.00.00,1.3,70.0,61.0
16/03/2004,08.00.00,3.4,97.0,116.5
16/03/2004,09.00.00,3.7,95.0,121.5
16/03/2004,10.00.00,5.3,150.0,181.0
16/03/2004,11.00.00,4.1,162.0,163.0
16/03/2004,12.00.00,3.3,154.0,143.0
16/03/2004,13.00.00,4.0,161.0,160.5
16/03/2004,14.00.00,3.8,161.0,156.5
16/03/2004,15.00.00,2.8,128.0,120.0
16/03/2004,16.00.00,2.9,129.0,122.5
16/03/2004,17.00.00,2.9,133.0,124.5
16/03/2004,18.00.00,3.4,139.0,137.5
16/03/2004,19.00.00,3.9,137.0,146.5
16/03/2004,20.00.00,3.2,143.0,135.5
16/03/2004,21.00.00,5.1,177.0,190.5
16/03/2004,22.00.00,2.6,138.0,121.0
16/03/2004,23.00.00,1.7,117.0,92.5
17/03/2004,00.00.00,1.7,107.0,87.5
17/03/2004,01.00.00,1.2,90.0,69.0
17/03/2004,02.00.00,0.9,79.0,57.5
17/03/2004,05.00.00,0.5,40.0,30.0
17/03/2004,06.00.00,0.5,53.0,36.5
17/03/2004,07.00.00,1.6,84.0,74.0
17/03/2004,08.00.00,4.1,108.0,136.0
17/03/2004,09.00.00,6.6,127.0,195.5
17/03/2004,10.00.00,4.3,134.0,153.0
17/03/2004,11.00.00,2.9,135.0,125.5
17/03/2004,12.00.00,2.5,142.0,121.0
17/03/2004,13.00.00,2.8,153.0,132.5
17/03/2004,14.00.00,2.6,123.0,113.5
17/03/2004,15.00.00,2.0,104.0,92.0
17/03/2004,16.00.00,2.9,129.0,122.5
17/03/2004,17.00.00,2.5,114.0,107.0
17/03/2004,18.00.00,5.0,158.0,179.0
17/03/2004,19.00.00,7.6,194.0,249.0
17/03/2004,20.00.00,6.7,182.0,225.0
17/03/2004,21.00.00,5.7,180.0,204.0
17/03/2004,22.00.00,2.8,136.0,124.0
17/03/2004,23.00.00,2.6,127.0,115.5
18/03/2004,00.00.00,2.3,116.0,104.0
18/03/2004,01.00.00,1.4,107.0,81.5
18/03/2004,02.00.00,1.0,88.0,64.0
18/03/2004,05.00.00,0.6,57.0,40.5
18/03/2004,06.00.00,0.7,71.0,49.5
18/03/2004,07.00.00,1.5,85.0,72.5
18/03/2004,08.00.00,4.7,124.0,156.0
18/03/2004,09.00.00,6.6,151.0,207.5
18/03/2004,10.00.00,4.5,150.0,165.0
18/03/2004,11.00.00,2.8,152.0,132.0
18/03/2004,12.00.00,2.2,139.0,113.5
18/03/2004,13.00.00,2.2,133.0,110.5
18/03/2004,14.00.00,2.3,126.0,109.0
18/03/2004,15.00.00,2.2,128.0,108.0
18/03/2004,16.00.00,2.8,169.0,140.5
18/03/2004,17.00.00,2.7,149.0,128.5
18/03/2004,18.00.00,3.7,156.0,152.0
18/03/2004,19.00.00,5.1,168.0,186.0
18/03/2004,20.00.00,5.1,176.0,190.0
18/03/2004,21.00.00,3.2,135.0,131.5
18/03/2004,22.00.00,2.1,121.0,102.5
18/03/2004,23.00.00,1.7,99.0,83.5
19/03/2004,00.00.00,2.0,106.0,93.0
19/03/2004,01.00.00,1.6,96.0,80.0
19/03/2004,02.00.00,0.9,63.0,49.5
19/03/2004,05.00.00,0.5,28.0,24.0
19/03/2004,06.00.00,0.7,61.0,44.5
19/03/2004,07.00.00,1.5,99.0,79.5
19/03/2004,08.00.00,4.8,157.0,174.5
19/03/2004,09.00.00,6.2,166.0,207.0
19/03/2004,10.00.00,4.0,149.0,154.5
19/03/2004,11.00.00,3.3,135.0,133.5
19/03/2004,12.00.00,2.8,127.0,119.5
19/03/2004,13.00.00,3.0,122.0,121.0
19/03/2004,14.00.00,3.3,135.0,133.5
19/03/2004,15.00.00,3.5,139.0,139.5
19/03/2004,16.00.00,4.0,147.0,153.5
19/03/2004,17.00.00,4.6,158.0,171.0
19/03/2004,18.00.00,4.1,146.0,155.0
19/03/2004,19.00.00,4.5,144.0,162.0
19/03/2004,20.00.00,3.9,138.0,147.0
19/03/2004,21.00.00,4.0,143.0,151.5
19/03/2004,22.00.00,2.2,116.0,102.0
19/03/2004,23.00.00,2.1,109.0,96.5
20/03/2004,00.00.00,1.7,92.0,80.0
20/03/2004,01.00.00,1.6,83.0,73.5
20/03/2004,02.00.00,1.3,81.0,66.5
20/03/2004,05.00.00,0.8,53.0,42.5
20/03/2004,06.00.00,0.8,67.0,49.5
20/03/2004,07.00.00,1.1,91.0,67.5
20/03/2004,08.00.00,2.1,113.0,98.5
20/03/2004,09.00.00,2.4,102.0,99.0
20/03/2004,10.00.00,2.6,107.0,105.5
20/03/2004,11.00.00,2.8,113.0,112.5
20/03/2004,12.00.00,2.6,108.0,106.0
20/03/2004,13.00.00,2.6,105.0,104.5
20/03/2004,14.00.00,2.1,93.0,88.5
20/03/2004,15.00.00,1.7,87.0,77.5
20/03/2004,16.00.00,1.6,76.0,70.0
20/03/2004,17.00.00,2.1,94.0,89.0
20/03/2004,18.00.00,2.3,110.0,101.0
20/03/2004,19.00.00,3.5,136.0,138.0
20/03/2004,20.00.00,3.9,139.0,147.5
20/03/2004,21.00.00,3.3,125.0,128.5
20/03/2004,22.00.00,2.3,111.0,101.5
20/03/2004,23.00.00,2.1,97.0,90.5
21/03/2004,00.00.00,2.8,107.0,109.5
21/03/2004,01.00.00,2.1,90.0,87.0
21/03/2004,02.00.00,1.6,84.0,74.0
21/03/2004,05.00.00,1.1,66.0,55.0
21/03/2004,06.00.00,0.7,36.0,32.0
21/03/2004,07.00.00,0.8,62.0,47.0
21/03/2004,08.00.00,1.2,91.0,69.5
21/03/2004,09.00.00,1.4,89.0,72.5
21/03/2004,10.00.00,1.7,93.0,80.5
21/03/2004,11.00.00,1.8,81.0,76.5
21/03/2004,12.00.00,1.8,82.0,77.0
21/03/2004,13.00.00,1.9,80.0,78.0
21/03/2004,14.00.00,1.3,48.0,50.0
21/03/2004,15.00.00,1.6,61.0,62.5
21/03/2004,16.00.00,1.9,89.0,82.5
21/03/2004,17.00.00,2.3,105.0,98.5
21/03/2004,18.00.00,3.8,116.0,134.0
21/03/2004,19.00.00,3.5,119.0,129.5
21/03/2004,20.00.00,4.3,144.0,158.0
21/03/2004,21.00.00,2.8,123.0,117.5
21/03/2004,22.00.00,1.9,105.0,90.5
21/03/2004,23.00.00,1.9,93.0,84.5
22/03/2004,00.00.00,1.7,86.0,77.0
22/03/2004,01.00.00,1.5,76.0,68.0
22/03/2004,02.00.00,0.6,33.0,28.5
22/03/2004,05.00.00,0.3,23.0,17.5
22/03/2004,06.00.00,0.6,46.0,35.0
22/03/2004,07.00.00,1.2,76.0,62.0
22/03/2004,08.00.00,3.6,116.0,130.0
22/03/2004,09.00.00,3.7,115.0,131.5
22/03/2004,10.00.00,1.8,83.0,77.5
22/03/2004,11.00.00,1.6,87.0,75.5
22/03/2004,12.00.00,1.9,90.0,83.0
22/03/2004,13.00.00,2.0,87.0,83.5
22/03/2004,14.00.00,2.2,99.0,93.5
22/03/2004,15.00.00,2.1,99.0,91.5
22/03/2004,16.00.00,2.3,101.0,96.5
22/03/2004,17.00.00,2.6,103.0,103.5
22/03/2004,18.00.00,3.8,129.0,140.5
22/03/2004,19.00.00,4.4,143.0,159.5
22/03/2004,20.00.00,4.5,146.0,163.0
22/03/2004,21.00.00,3.3,124.0,128.0
22/03/2004,22.00.00,2.0,113.0,96.5
22/03/2004,23.00.00,1.1,80.0,62.0
23/03/2004,00.00.00,0.9,72.0,54.0
23/03/2004,01.00.00,0.8,64.0,48.0
23/03/2004,02.00.00,0.7,70.0,49.0
23/03/2004,05.00.00,0.3,22.0,17.0
23/03/2004,06.00.00,0.5,47.0,33.5
23/03/2004,07.00.00,1.1,88.0,66.0
23/03/2004,08.00.00,3.0,130.0,125.0
23/03/2004,09.00.00,3.8,132.0,142.0
23/03/2004,10.00.00,3.4,132.0,134.0
23/03/2004,11.00.00,3.0,131.0,125.5
23/03/2004,12.00.00,2.7,129.0,118.5
23/03/2004,13.00.00,3.5,132.0,136.0
23/03/2004,14.00.00,2.8,110.0,111.0
23/03/2004,15.00.00,1.9,99.0,87.5
23/03/2004,16.00.00,2.0,100.0,90.0
23/03/2004,17.00.00,3.0,122.0,121.0
23/03/2004,18.00.00,1.9,97.0,86.5
23/03/2004,19.00.00,2.7,112.0,110.0
23/03/2004,20.00.00,3.3,128.0,130.0
23/03/2004,21.00.00,1.7,101.0,84.5
23/03/2004,22.00.00,1.3,96.0,74.0
23/03/2004,23.00.00,1.3,86.0,69.0
24/03/2004,00.00.00,1.2,85.0,66.5
24/03/2004,01.00.00,1.1,79.0,61.5
24/03/2004,02.00.00,0.9,61.0,48.5
24/03/2004,05.00.00,0.6,54.0,39.0
24/03/2004,06.00.00,0.8,57.0,44.5
24/03/2004,07.00.00,1.2,75.0,61.5
24/03/2004,08.00.00,3.1,97.0,110.5
24/03/2004,09.00.00,4.4,110.0,143.0
24/03/2004,10.00.00,3.4,113.0,124.5
24/03/2004,11.00.00,1.7,88.0,78.0
24/03/2004,12.00.00,1.5,85.0,72.5
24/03/2004,13.00.00,1.7,96.0,82.0
24/03/2004,14.00.00,2.2,106.0,97.0
24/03/2004,16.00.00,2.7,126.0,117.0
24/03/2004,17.00.00,2.8,130.0,121.0
24/03/2004,18.00.00,2.7,111.0,109.5
24/03/2004,19.00.00,4.5,134.0,157.0
24/03/2004,20.00.00,3.5,136.0,138.0
24/03/2004,21.00.00,2.6,125.0,114.5
24/03/2004,22.00.00,1.7,108.0,88.0
24/03/2004,23.00.00,1.3,87.0,69.5
25/03/2004,00.00.00,1.3,89.0,70.5
25/03/2004,01.00.00,1.0,58.0,49.0
25/03/2004,02.00.00,0.7,54.0,41.0
25/03/2004,04.00.00,0.5,28.0,24.0
25/03/2004,05.00.00,0.5,20.0,20.0
25/03/2004,06.00.00,0.6,51.0,37.5
25/03/2004,07.00.00,1.1,82.0,63.0
25/03/2004,08.00.00,2.7,112.0,110.0
25/03/2004,09.00.00,3.5,119.0,129.5
25/03/2004,10.00.00,2.3,99.0,95.5
25/03/2004,11.00.00,1.6,98.0,81.0
25/03/2004,12.00.00,1.3,88.0,70.0
25/03/2004,13.00.00,2.0,96.0,88.0
25/03/2004,14.00.00,1.9,81.0,78.5
25/03/2004,15.00.00,1.9,92.0,84.0
25/03/2004,16.00.00,2.2,105.0,96.5
25/03/2004,17.00.00,2.0,88.0,84.0
25/03/2004,18.00.00,2.9,103.0,109.5
25/03/2004,19.00.00,5.2,141.0,174.5
25/03/2004,20.00.00,4.6,133.0,158.5
25/03/2004,21.00.00,2.5,119.0,109.5
25/03/2004,22.00.00,1.5,106.0,83.0
25/03/2004,23.00.00,1.2,92.0,70.0
26/03/2004,00.00.00,1.7,97.0,82.5
26/03/2004,01.00.00,1.4,91.0,73.5
26/03/2004,02.00.00,1.2,83.0,65.5
26/03/2004,04.00.00,0.7,59.0,43.5
26/03/2004,05.00.00,0.8,73.0,52.5
26/03/2004,06.00.00,0.9,78.0,57.0
26/03/2004,07.00.00,1.6,90.0,77.0
26/03/2004,08.00.00,3.4,110.0,123.0
26/03/2004,09.00.00,3.8,114.0,133.0
26/03/2004,10.00.00,3.1,119.0,121.5
26/03/2004,11.00.00,2.7,121.0,114.5
26/03/2004,12.00.00,2.0,97.0,88.5
26/03/2004,13.00.00,2.3,99.0,95.5
26/03/2004,14.00.00,1.9,85.0,80.5
26/03/2004,15.00.00,1.3,75.0,63.5
26/03/2004,16.00.00,1.9,87.0,81.5
26/03/2004,17.00.00,2.3,102.0,97.0
26/03/2004,18.00.00,2.4,105.0,100.5
26/03/2004,19.00.00,2.7,98.0,103.0
26/03/2004,20.00.00,2.6,93.0,98.5
26/03/2004,21.00.00,1.5,91.0,75.5
26/03/2004,22.00.00,1.2,85.0,66.5
26/03/2004,23.00.00,1.1,74.0,59.0
27/03/2004,00.00.00,1.5,87.0,73.5
27/03/2004,01.00.00,1.0,79.0,59.5
27/03/2004,02.00.00,1.2,78.0,63.0
27/03/2004,05.00.00,0.8,48.0,40.0
27/03/2004,06.00.00,0.9,59.0,47.5
27/03/2004,07.00.00,1.1,65.0,54.5
27/03/2004,08.00.00,1.5,71.0,65.5
27/03/2004,09.00.00,1.8,84.0,78.0
27/03/2004,10.00.00,2.1,93.0,88.5
27/03/2004,11.00.00,2.1,99.0,91.5
27/03/2004,12.00.00,1.9,93.0,84.5
27/03/2004,13.00.00,2.1,96.0,90.0
27/03/2004,14.00.00,2.5,114.0,107.0
27/03/2004,15.00.00,1.9,101.0,88.5
27/03/2004,16.00.00,2.2,108.0,98.0
27/03/2004,17.00.00,2.3,117.0,104.5
27/03/2004,18.00.00,2.7,125.0,116.5
27/03/2004,19.00.00,3.0,133.0,126.5
27/03/2004,20.00.00,2.8,119.0,115.5
27/03/2004,21.00.00,2.2,107.0,97.5
27/03/2004,22.00.00,1.6,96.0,80.0
27/03/2004,23.00.00,2.1,105.0,94.5
28/03/2004,00.00.00,2.3,102.0,97.0
28/03/2004,01.00.00,2.3,97.0,94.5
28/03/2004,02.00.00,1.7,79.0,73.5
28/03/2004,04.00.00,1.3,69.0,60.5
28/03/2004,05.00.00,0.8,52.0,42.0
28/03/2004,06.00.00,1.1,62.0,53.0
28/03/2004,07.00.00,1.4,69.0,62.5
28/03/2004,08.00.00,1.3,75.0,63.5
28/03/2004,09.00.00,1.9,83.0,79.5
28/03/2004,10.00.00,2.3,94.0,93.0
28/03/2004,11.00.00,2.3,96.0,94.0
28/03/2004,12.00.00,1.8,86.0,79.0
28/03/2004,13.00.00,1.4,72.0,64.0
28/03/2004,14.00.00,1.0,53.0,46.5
28/03/2004,15.00.00,1.4,65.0,60.5
28/03/2004,16.00.00,1.3,70.0,61.0
28/03/2004,17.00.00,1.3,75.0,63.5
28/03/2004,18.00.00,1.4,86.0,71.0
28/03/2004,19.00.00,1.9,94.0,85.0
28/03/2004,20.00.00,1.8,103.0,87.5
28/03/2004,21.00.00,1.1,81.0,62.5
28/03/2004,22.00.00,1.1,80.0,62.0
28/03/2004,23.00.00,1.1,77.0,60.5
29/03/2004,00.00.00,0.9,58.0,47.0
29/03/2004,01.00.00,0.6,31.0,27.5
29/03/2004,02.00.00,0.5,38.0,29.0
29/03/2004,04.00.00,0.6,59.0,41.5
29/03/2004,05.00.00,0.7,70.0,49.0
29/03/2004,06.00.00,0.9,75.0,55.5
29/03/2004,07.00.00,2.9,103.0,109.5
29/03/2004,08.00.00,4.1,134.0,149.0
29/03/2004,09.00.00,1.5,98.0,79.0
29/03/2004,10.00.00,1.5,97.0,78.5
29/03/2004,11.00.00,1.5,98.0,79.0
29/03/2004,12.00.00,1.4,78.0,67.0
29/03/2004,13.00.00,1.6,83.0,73.5
29/03/2004,14.00.00,1.5,92.0,76.0
29/03/2004,15.00.00,1.4,81.0,68.5
29/03/2004,16.00.00,1.5,90.0,75.0
29/03/2004,17.00.00,1.9,95.0,85.5
29/03/2004,18.00.00,2.5,114.0,107.0
29/03/2004,19.00.00,2.1,106.0,95.0
29/03/2004,20.00.00,1.6,99.0,81.5
29/03/2004,21.00.00,1.2,90.0,69.0
29/03/2004,22.00.00,1.1,82.0,63.0
29/03/2004,23.00.00,1.0,74.0,57.0
30/03/2004,00.00.00,1.0,76.0,58.0
30/03/2004,01.00.00,0.7,66.0,47.0
30/03/2004,02.00.00,0.7,73.0,50.5
30/03/2004,05.00.00,0.7,71.0,49.5
30/03/2004,06.00.00,1.1,98.0,71.0
30/03/2004,07.00.00,2.6,115.0,109.5
30/03/2004,08.00.00,4.0,130.0,145.0
30/03/2004,09.00.00,4.2,150.0,159.0
30/03/2004,10.00.00,4.7,159.0,173.5
30/03/2004,11.00.00,3.9,146.0,151.0
30/03/2004,12.00.00,3.7,138.0,143.0
30/03/2004,13.00.00,3.4,128.0,132.0
30/03/2004,14.00.00,2.2,97.0,92.5
30/03/2004,15.00.00,1.9,91.0,83.5
30/03/2004,16.00.00,1.6,81.0,72.5
30/03/2004,17.00.00,2.1,99.0,91.5
30/03/2004,18.00.00,2.2,101.0,94.5
30/03/2004,19.00.00,2.7,106.0,107.0
30/03/2004,20.00.00,2.4,102.0,99.0
30/03/2004,21.00.00,1.3,84.0,68.0
30/03/2004,22.00.00,1.2,81.0,64.5
30/03/2004,23.00.00,1.5,91.0,75.5
31/03/2004,00.00.00,1.3,82.0,67.0
31/03/2004,01.00.00,1.0,64.0,52.0
31/03/2004,02.00.00,0.9,70.0,53.0
31/03/2004,04.00.00,0.5,26.0,23.0
31/03/2004,05.00.00,0.6,58.0,41.0
31/03/2004,06.00.00,1.0,93.0,66.5
31/03/2004,07.00.00,3.1,110.0,117.0
31/03/2004,08.00.00,4.1,115.0,139.5
31/03/2004,09.00.00,2.2,125.0,106.5
31/03/2004,10.00.00,1.7,118.0,93.0
31/03/2004,11.00.00,1.9,109.0,92.5
31/03/2004,12.00.00,2.9,123.0,119.5
31/03/2004,13.00.00,2.2,114.0,101.0
31/03/2004,14.00.00,2.6,114.0,109.0
31/03/2004,15.00.00,3.1,119.0,121.5
31/03/2004,16.00.00,2.3,111.0,101.5
31/03/2004,17.00.00,2.4,103.0,99.5
31/03/2004,18.00.00,2.8,103.0,107.5
31/03/2004,19.00.00,2.7,107.0,107.5
31/03/2004,20.00.00,2.3,105.0,98.5
31/03/2004,21.00.00,1.5,91.0,75.5
31/03/2004,22.00.00,1.4,79.0,67.5
31/03/2004,23.00.00,1.2,79.0,63.5
01/04/2004,00.00.00,1.6,86.0,75.0
01/04/2004,01.00.00,1.2,70.0,59.0
01/04/2004,02.00.00,1.1,55.0,49.5
01/04/2004,04.00.00,0.7,49.0,38.5
01/04/2004,05.00.00,0.9,50.0,43.0
01/04/2004,06.00.00,1.7,67.0,67.5
01/04/2004,07.00.00,4.2,94.0,131.0
01/04/2004,08.00.00,6.2,119.0,183.5
01/04/2004,09.00.00,4.6,139.0,161.5
01/04/2004,10.00.00,2.8,113.0,112.5
01/04/2004,11.00.00,1.6,88.0,76.0
01/04/2004,12.00.00,1.7,73.0,70.5
01/04/2004,13.00.00,1.7,73.0,70.5
01/04/2004,14.00.00,1.7,72.0,70.0
01/04/2004,15.00.00,1.9,81.0,78.5
01/04/2004,16.00.00,2.3,93.0,92.5
01/04/2004,17.00.00,3.3,106.0,119.0
01/04/2004,18.00.00,4.2,132.0,150.0
01/04/2004,19.00.00,5.5,164.0,192.0
01/04/2004,20.00.00,4.9,161.0,178.5
01/04/2004,21.00.00,2.5,124.0,112.0
01/04/2004,22.00.00,2.0,113.0,96.5
01/04/2004,23.00.00,2.0,103.0,91.5
02/04/2004,00.00.00,2.0,104.0,92.0
02/04/2004,01.00.00,1.3,93.0,72.5
02/04/2004,02.00.00,1.0,60.0,50.0
02/04/2004,05.00.00,0.7,66.0,47.0
02/04/2004,06.00.00,1.1,82.0,63.0
02/04/2004,07.00.00,2.6,109.0,106.5
02/04/2004,08.00.00,3.9,114.0,135.0
02/04/2004,09.00.00,5.0,139.0,169.5
02/04/2004,10.00.00,3.3,127.0,129.5
02/04/2004,11.00.00,2.9,127.0,121.5
02/04/2004,12.00.00,3.1,135.0,129.5
02/04/2004,13.00.00,3.0,130.0,125.0
02/04/2004,14.00.00,2.7,126.0,117.0
02/04/2004,15.00.00,2.7,121.0,114.5
02/04/2004,16.00.00,2.6,122.0,113.0
02/04/2004,17.00.00,3.7,138.0,143.0
02/04/2004,18.00.00,4.5,165.0,172.5
02/04/2004,19.00.00,4.7,154.0,171.0
02/04/2004,20.00.00,5.5,168.0,194.0
02/04/2004,21.00.00,3.0,146.0,133.0
02/04/2004,22.00.00,1.9,124.0,100.0
02/04/2004,23.00.00,2.3,124.0,108.0
03/04/2004,00.00.00,1.6,106.0,85.0
03/04/2004,01.00.00,1.3,88.0,70.0
03/04/2004,02.00.00,1.2,83.0,65.5
03/04/2004,04.00.00,0.8,74.0,53.0
03/04/2004,05.00.00,0.8,64.0,48.0
03/04/2004,06.00.00,0.9,69.0,52.5
03/04/2004,07.00.00,2.0,91.0,85.5
03/04/2004,08.00.00,3.0,96.0,108.0
03/04/2004,09.00.00,3.1,106.0,115.0
05/04/2004,10.00.00,3.1,124.0,124.0
05/04/2004,11.00.00,3.0,121.0,120.5
05/04/2004,12.00.00,3.2,114.0,121.0
05/04/2004,13.00.00,3.1,114.0,119.0
05/04/2004,14.00.00,2.5,106.0,103.0
05/04/2004,15.00.00,2.1,89.0,86.5
05/04/2004,16.00.00,2.0,82.0,81.0
05/04/2004,17.00.00,3.2,111.0,119.5
05/04/2004,18.00.00,4.1,132.0,148.0
05/04/2004,19.00.00,3.9,121.0,138.5
05/04/2004,20.00.00,3.1,116.0,120.0
05/04/2004,21.00.00,2.0,100.0,90.0
05/04/2004,22.00.00,1.7,89.0,78.5
05/04/2004,23.00.00,1.6,92.0,78.0
06/04/2004,00.00.00,1.0,71.0,55.5
06/04/2004,01.00.00,0.8,51.0,41.5
06/04/2004,02.00.00,0.5,39.0,29.5
06/04/2004,04.00.00,0.5,35.0,27.5
06/04/2004,05.00.00,0.8,64.0,48.0
06/04/2004,06.00.00,1.7,94.0,81.0
06/04/2004,07.00.00,4.5,134.0,157.0
06/04/2004,08.00.00,6.2,129.0,188.5
06/04/2004,09.00.00,4.4,125.0,150.5
06/04/2004,10.00.00,2.9,107.0,111.5
06/04/2004,11.00.00,1.6,78.0,71.0
06/04/2004,12.00.00,2.6,91.0,97.5
06/04/2004,13.00.00,2.9,116.0,116.0
06/04/2004,14.00.00,2.5,131.0,115.5
06/04/2004,15.00.00,1.9,113.0,94.5
06/04/2004,16.00.00,1.9,98.0,87.0
06/04/2004,17.00.00,2.7,116.0,112.0
06/04/2004,18.00.00,3.0,120.0,120.0
